Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Wasserfall AG / Water Conservation;8712886;28.02.2024;Implemented user authentication system.;Lara Zimmer;0.34629;0;Wasserfall AG;abgerechnet;00:25
Wolfsblut GmbH / Wildlife Conservation;9685145;06.02.2024;Implemented user authentication system.;Emma Kruger;0.03452;0.03622;Wolfsblut GmbH;geprueft;00:28
Wunderbar GmbH / Customer Engagement;1813341;02.02.2024;Resolved bug in the payment module.;Ben Richter;0.02545;0.0367;Wunderbar GmbH;geprueft;00:18
Bergwerk AG / Sustainable Resources;7112373;16.02.2024;Optimized database queries for faster load times.;Tom Braun;0.11202;0.09663;Bergwerk AG;geprueft;00:44
Fels & Stein GmbH / Mineral Extraction;8946660;13.02.2024;Automated deployment processes for CI/CD pipeline.;Tim Neumann;0.45377;0.5533;Fels & Stein GmbH;abgerechnet;04:44
Silberfuchs GmbH / Technology R&D;3973980;14.02.2024;Automated deployment processes for CI/CD pipeline.;Liam Scholz;0.07439;0.06175;Silberfuchs GmbH;abgerechnet;00:40
Sturm & Partner / Market Analysis;6242992;22.02.2024;Fixed compatibility issues with legacy systems.;Julia Weber;0.31185;0.27235;Sturm & Partner;abgerechnet;02:24
Wunderbar GmbH / Marketing Overhaul;6715295;08.02.2024;Resolved bug in the payment module.;Lara Zimmer;0.02835;0;Wunderbar GmbH;abgerechnet;00:28
Lichtblick AG / Environmental Impact;9990953;16.02.2024;Enhanced search functionality with advanced filters.;Felix Voigt;0.03079;0.03686;Lichtblick AG;abgerechnet;00:05
Kleeblatt AG / Sustainability;9013699;19.02.2024;Added localization support for multiple languages.;Ben Richter;0.27309;0.28059;Kleeblatt AG;abgerechnet;02:05
Wolfsblut GmbH / Veterinary Research;3522361;06.02.2024;Conducted performance testing and optimizations.;Paul Bauer;0.36386;0.33506;Wolfsblut GmbH;abgerechnet;02:29
Funkeln & Glanz KG / Retail Expansion;3979024;05.02.2024;Implemented caching mechanism for efficiency.;Lena Krause;0.15466;0;Funkeln & Glanz KG;abgerechnet;00:09
Wasserfall AG / Eco-friendly Solutions;9205426;12.02.2024;Refactored code for better maintainability.;Jonas Wagner;0.08522;0.09977;Wasserfall AG;abgerechnet;00:28
Silberfuchs GmbH / Technology R&D;9768002;05.02.2024;Automated deployment processes for CI/CD pipeline.;Lukas Fischer;0.1032;0.25674;Silberfuchs GmbH;abgerechnet;01:44
Funkeln & Glanz KG / Jewelry Design;5947794;13.02.2024;Conducted performance testing and optimizations.;Jonas Wagner;0.05438;0.05142;Funkeln & Glanz KG;abgerechnet;00:18
Wolkenbruch AG / Data Security;5507095;29.02.2024;Improved security protocols to protect data.;Sophie Schmidt;0.16441;0.17976;Wolkenbruch AG;abgerechnet;01:35
Silberfuchs GmbH / Technology R&D;5677543;05.02.2024;Automated deployment processes for CI/CD pipeline.;Lisa Schulz;0.10928;0.08536;Silberfuchs GmbH;abgerechnet;01:15
Sturm & Partner / Financial Strategy;7146966;26.02.2024;Updated UI for a more modern look.;Clara Klein;0.03033;0.02826;Sturm & Partner;abgerechnet;00:20
Sternschuppen AG / Satellite Technology;9799166;12.02.2024;Added localization support for multiple languages.;Lena Krause;0.11218;0.09121;Sternschuppen AG;abgerechnet;01:11
Blitz & Co KG / Lightning Protection;3846989;07.02.2024;Integrated third-party API for extended functionality.;Clara Klein;0.03739;0.0295;Blitz & Co KG;abgerechnet;00:15
Funkeln & Glanz KG / Luxury Goods;1100821;05.02.2024;Added localization support for multiple languages.;Emma Kruger;0.02584;0;Funkeln & Glanz KG;abgerechnet;00:30
Drachenfels GmbH / Virtual Reality;4839139;29.02.2024;Fixed compatibility issues with legacy systems.;Simon Seidel;0.88374;0.83038;Drachenfels GmbH;abgerechnet;06:47
Adlerflug GmbH / Aviation Safety;9646865;09.02.2024;Improved error handling and logging mechanisms.;Sara Brandt;0.03316;0.03062;Adlerflug GmbH;abgerechnet;00:06
Bergwerk AG / Sustainable Resources;9757178;29.02.2024;Optimized database queries for faster load times.;Olivia Berg;0.0289;0.02709;Bergwerk AG;abgerechnet;00:33
Wunderbar GmbH / Brand Innovation;5717531;19.02.2024;Added localization support for multiple languages.;Hannah Boehm;0.03559;0.02855;Wunderbar GmbH;abgerechnet;00:08
Drachenfels GmbH / Fantasy Game Development;2811470;20.02.2024;Automated deployment processes for CI/CD pipeline.;Olivia Berg;0.05896;0.07105;Drachenfels GmbH;abgerechnet;00:33
Fels & Stein GmbH / Rock Mechanics;2793858;26.02.2024;Developed prototype for upcoming product launch.;Liam Scholz;0.02518;0.03177;Fels & Stein GmbH;abgerechnet;00:21
Seeblick GmbH / Hotel Management;4961038;29.02.2024;Implemented user authentication system.;Tom Braun;0.56443;0.46751;Seeblick GmbH;abgerechnet;04:41
Morgenstern AG / Green Initiatives;8442685;28.02.2024;Improved security protocols to protect data.;Finn Lehmann;0.03311;0.03077;Morgenstern AG;abgerechnet;00:18
Sandsturm AG / Climate Adaptation;2527026;05.02.2024;Developed new analytics dashboard for insights.;David Meier;0.03296;0.02577;Sandsturm AG;geprueft;00:45
Sonnenstrahl KG / Sustainable Solutions;7501157;28.02.2024;Improved security protocols to protect data.;Jan Kohler;0.47633;0.74446;Sonnenstrahl KG;abgerechnet;07:30
Silberfuchs GmbH / Technology R&D;6109408;27.02.2024;Integrated third-party API for extended functionality.;Mia Koch;0.13924;0.1237;Silberfuchs GmbH;abgerechnet;01:02
Hinterland GmbH / Rural Development;3921612;22.02.2024;Implemented user authentication system.;Julia Weber;0.10435;0.08318;Hinterland GmbH;abgerechnet;00:24
Wunderbar GmbH / Marketing Overhaul;4050035;28.02.2024;Improved security protocols to protect data.;Emma Kruger;0.03179;0.034;Wunderbar GmbH;abgerechnet;00:00
Wasserfall AG / Hydropower Development;1709577;12.02.2024;Optimized database queries for faster load times.;Niklas Hahn;0.13947;0.13539;Wasserfall AG;abgerechnet;00:58
Wasserfall AG / Water Conservation;6570631;01.02.2024;Integrated third-party API for extended functionality.;Lara Zimmer;0.03551;0.02802;Wasserfall AG;abgerechnet;00:45
Wildfang AG / Adventure Gear;1542309;08.02.2024;Added a new feature to improve user experience.;Mia Koch;0.03133;0.02988;Wildfang AG;abgerechnet;00:25
Wildfang AG / Outdoor Equipment;7111907;05.02.2024;Enhanced search functionality with advanced filters.;Tom Braun;0.0296;0.03028;Wildfang AG;abgerechnet;00:00
Kieselstein GmbH / Construction Innovation;4394213;14.02.2024;Automated deployment processes for CI/CD pipeline.;Lara Zimmer;0.03461;0.03008;Kieselstein GmbH;abgerechnet;00:33
Wasserfall AG / Hydropower Development;8470225;29.02.2024;Added localization support for multiple languages.;Tim Neumann;0.10574;0.11157;Wasserfall AG;abgerechnet;00:32
Drachenfels GmbH / Fantasy Game Development;4353383;29.02.2024;Resolved bug in the payment module.;Clara Klein;0.09686;0.10803;Drachenfels GmbH;abgerechnet;00:28
Hinterland GmbH / Rural Development;9957340;15.02.2024;Automated deployment processes for CI/CD pipeline.;Finn Lehmann;0.02981;0.02907;Hinterland GmbH;abgerechnet;00:24
Blitz & Co KG / Smart Grid;5792889;14.02.2024;Refactored code for better maintainability.;Laura Schwarz;0.0367;0;Blitz & Co KG;abgerechnet;00:23
Sturm & Partner / Risk Management;6343488;01.02.2024;Improved error handling and logging mechanisms.;Liam Scholz;0.03466;0;Sturm & Partner;abgerechnet;00:21
Wasserfall AG / Hydropower Development;4462067;19.02.2024;Updated UI for a more modern look.;Ben Richter;0.02686;0.02832;Wasserfall AG;abgerechnet;00:34
Sandsturm AG / Climate Adaptation;3993119;28.02.2024;Fixed compatibility issues with legacy systems.;Lea Schneider;0.11215;0.09799;Sandsturm AG;abgerechnet;00:55
Sturm & Partner / Market Analysis;2536667;09.02.2024;Implemented user authentication system.;Simon Seidel;0.03224;0.02603;Sturm & Partner;abgerechnet;00:42
Sturm & Partner / Market Analysis;7989407;27.02.2024;Refactored code for better maintainability.;Lena Krause;0.10246;0.13263;Sturm & Partner;abgerechnet;00:44
Morgenstern AG / Solar Energy;1559981;27.02.2024;Implemented caching mechanism for efficiency.;Noah Schmid;0.03082;0.03415;Morgenstern AG;abgerechnet;00:12
Wolfsblut GmbH / Wildlife Conservation;3244941;07.02.2024;Automated deployment processes for CI/CD pipeline.;Sophie Schmidt;0.02989;0;Wolfsblut GmbH;abgerechnet;00:03
